GENE	mhat	thetahat	sample	ahat	bhat	bestmod	phet	pierr	tot	serr	true_status	piescape	aescape	bescape	AD_hap1	ANNO	CHROM	gender	AD_hap2
gene_test_1	0.1	150	sample1	15.8	134.2	BB			313	0	test_subject				22	gene_test_1	X	female	291
gene_test_1	0.1	150	sample2	15.8	134.2	BB			313	0	test_subject				23	gene_test_1	X	female	290
gene_test_1	0.1	150	sample3	15.8	134.2	BB			313	0	test_subject				42	gene_test_1	X	female	271
gene_test_1	0.1	150	sample4	15.8	134.2	MM	0.9	0.01	313	0	test_subject				40	gene_test_1	X	female	273
gene_test_1	0.1	150	sample5	15.8	134.2	MM	0.9	0.01	313	0	test_subject				27	gene_test_1	X	female	286
gene_test_1	0.1	150	sample6	15.8	134.2	MM	0.9	0.01	313	0	test_subject				40	gene_test_1	X	female	273
gene_test_1	0.1	150	sample7	15.8	134.2	BB			313	0	test_subject				28	gene_test_1	X	female	285
gene_test_1	0.1	150	sample8	15.8	134.2	BB			313	0	test_subject				50	gene_test_1	X	female	263
gene_test_1	0.1	150	sample9	15.8	134.2	BB			313	0	test_subject				40	gene_test_1	X	female	273
gene_test_1	0.1	150	sample10	15.8	134.2	MM	0.9	0.01	313	0	test_subject				57	gene_test_1	X	female	256
gene_test_1	0.25	150	sample11	38	112	MM	0.9	0.01	313	0	test_subject				95	gene_test_1	X	female	218
gene_test_1	0.25	150	sample12	38	112	MM	0.9	0.01	313	0	test_subject				83	gene_test_1	X	female	230
gene_test_1	0.25	150	sample13	38	112	BB			313	0	test_subject				76	gene_test_1	X	female	237
gene_test_1	0.25	150	sample14	38	112	BB			313	0	test_subject				79	gene_test_1	X	female	234
gene_test_1	0.25	150	sample15	38	112	BB			313	0	test_subject				73	gene_test_1	X	female	240
gene_test_1	0.25	150	sample16	38	112	MM	0.9	0.01	313	0	test_subject				83	gene_test_1	X	female	230
gene_test_1	0.25	150	sample17	38	112	MM	0.9	0.01	313	0	test_subject				100	gene_test_1	X	female	213
gene_test_1	0.25	150	sample18	38	112	MM	0.9	0.01	313	0	test_subject				92	gene_test_1	X	female	221
gene_test_1	0.25	150	sample19	38	112	BB			313	0	test_subject				63	gene_test_1	X	female	250
gene_test_1	0.25	150	sample20	38	112	BB			313	0	test_subject				73	gene_test_1	X	female	240
gene_test_1	0.1	500	sample21	50.8	449.2	BB			313	0	test_subject				35	gene_test_1	X	female	278
gene_test_1	0.1	500	sample22	50.8	449.2	MM	0.9	0.01	313	0	test_subject				30	gene_test_1	X	female	283
gene_test_1	0.1	500	sample23	50.8	449.2	MM	0.9	0.01	313	0	test_subject				27	gene_test_1	X	female	286
gene_test_1	0.1	500	sample24	50.8	449.2	MM	0.9	0.01	313	0	test_subject				38	gene_test_1	X	female	275
gene_test_1	0.1	500	sample25	50.8	449.2	BB			313	0	test_subject				35	gene_test_1	X	female	278
gene_test_1	0.1	500	sample26	50.8	449.2	BB			313	0	test_subject				35	gene_test_1	X	female	278
gene_test_1	0.1	500	sample27	50.8	449.2	BB			313	0	test_subject				30	gene_test_1	X	female	283
gene_test_1	0.1	500	sample28	50.8	449.2	MM	0.9	0.01	313	0	test_subject				36	gene_test_1	X	female	277
gene_test_1	0.1	500	sample29	50.8	449.2	MM	0.9	0.01	313	0	test_subject				29	gene_test_1	X	female	284
gene_test_1	0.1	500	sample30	50.8	449.2	MM	0.9	0.01	313	0	test_subject				32	gene_test_1	X	female	281
gene_test_1	0.25	500	sample31	125.5	374.5	BB			313	0	test_subject				53	gene_test_1	X	female	260
gene_test_1	0.25	500	sample32	125.5	374.5	BB			313	0	test_subject				77	gene_test_1	X	female	236
gene_test_1	0.25	500	sample33	125.5	374.5	BB			313	0	test_subject				79	gene_test_1	X	female	234
gene_test_1	0.25	500	sample34	125.5	374.5	MM	0.9	0.01	313	0	test_subject				87	gene_test_1	X	female	226
gene_test_1	0.25	500	sample35	125.5	374.5	MM	0.9	0.01	313	0	test_subject				66	gene_test_1	X	female	247
gene_test_1	0.25	500	sample36	125.5	374.5	MM	0.9	0.01	313	0	test_subject				80	gene_test_1	X	female	233
gene_test_1	0.25	500	sample37	125.5	374.5	BB			313	0	test_subject				91	gene_test_1	X	female	222
gene_test_1	0.25	500	sample38	125.5	374.5	BB			313	0	test_subject				87	gene_test_1	X	female	226
gene_test_1	0.25	500	sample39	125.5	374.5	BB			313	0	test_subject				92	gene_test_1	X	female	221
gene_test_1	0.25	500	sample40	125.5	374.5	MM	0.9	0.01	313	0	test_subject				89	gene_test_1	X	female	224
gene_test_11	0.1	150	sample1	15.8	134.2	BB			42	0	test_escape	0.5	75	75	21	gene_test_11	X	female	21
gene_test_11	0.1	150	sample2	15.8	134.2	BB			42	0	test_escape	0.4	60	90	20	gene_test_11	X	female	22
gene_test_11	0.1	150	sample3	15.8	134.2	BB			42	0	test_escape	0.4	60	90	19	gene_test_11	X	female	23
gene_test_11	0.1	150	sample4	15.8	134.2	MM	0.9	0.01	42	0	test_escape	0.4	60	90	15	gene_test_11	X	female	27
gene_test_11	0.1	150	sample5	15.8	134.2	MM	0.9	0.01	42	0	test_escape	0.4	60	90	16	gene_test_11	X	female	26
gene_test_11	0.1	150	sample6	15.8	134.2	MM	0.9	0.01	42	0	test_escape	0.5	75	75	16	gene_test_11	X	female	26
gene_test_11	0.1	150	sample7	15.8	134.2	BB			42	0	test_escape	0.5	75	75	20	gene_test_11	X	female	22
